Macro Tema|Tarefa|Verbo|Objetivo|Público|Código
Políticas Públicas Municipais de EPS|Articular e atuar na implementação e monitoramento de políticas públicas municipais de EPS|articular|incidência política|gestores públicos|V3-O5-P3
Políticas Públicas Municipais de EPS|Catalogar legislação municipal de EPS e respectivos municípios|coletar|diagnóstico|gestores públicos|V1-O1-P3
Políticas Públicas Municipais de EPS|Catalogar programas municipais de EPS e respectivos municípios|coletar|diagnóstico|gestores públicos|V1-O1-P3
Políticas Públicas Municipais de EPS|Reuniões com gestores para discutir implementação da política pública de EPS|articular|incidência política|gestores públicos|V3-O5-P3
Políticas Públicas Municipais de EPS|Reunir com empreendimentos para discutir papel das políticas municipais|articular|diagnóstico|empreendimentos EPS|V3-O1-P1
Políticas Públicas Municipais de EPS|Planejar formas de acesso às políticas municipais de EPS|orientar|infraestrutura/apoio|empreendimentos EPS|V6-O6-P1
Políticas Públicas Municipais de EPS|Monitorar o acesso às políticas municipais de EPS|executar|monitoramento/avaliação|empreendimentos EPS|V4-O4-P1
Políticas Públicas Municipais de EPS|Catalogar espaços de comercialização dos produtos da EPS|coletar|infraestrutura/apoio|empreendimentos EPS|V1-O6-P1
Políticas Públicas Municipais de EPS|Divulgar espaços de comercialização, aproximando produtor/a-consumidor/a|comunicar|infraestrutura/apoio|comunidade em geral|V5-O6-P7
Formação e Qualificação com Empreendimentos|Levantar demandas de formação, qualificação e assessoramento técnico|coletar|formação/qualificação|empreendimentos EPS|V1-O2-P1
Formação e Qualificação com Empreendimentos|Identificar parcerias para demandas de formação nos territórios|articular|formação/qualificação|instituições parceiras|V3-O2-P5
Formação e Qualificação com Empreendimentos|Sistematizar as informações|analisar|formação/qualificação|equipe interna|V2-O2-P6
Formação e Qualificação com Empreendimentos|Propor reuniões com instituições parceiras|articular|formação/qualificação|instituições parceiras|V3-O2-P5
Formação e Qualificação com Empreendimentos|Realizar planejamento com parceiros sobre execução das demandas|articular|formação/qualificação|instituições parceiras|V3-O2-P5
Formação e Qualificação com Empreendimentos|Organizar a realização das atividades|executar|formação/qualificação|empreendimentos EPS|V4-O2-P1
Formação e Qualificação com Empreendimentos|Acompanhar atividades relativas às demandas do Programa|executar|monitoramento/avaliação|empreendimentos EPS|V4-O4-P1
Formação e Qualificação com Empreendimentos|Elaborar documentos sobre andamento para Senaes|comunicar|monitoramento/avaliação|equipe interna|V5-O4-P6
Formação e Qualificação com Empreendimentos|Sistematizar experiências exitosas nos territórios|analisar|formação/qualificação|equipe interna|V2-O2-P6
Diagnósticos Territoriais|Visitar empreendimentos para apresentar o Programa|articular|diagnóstico|empreendimentos EPS|V3-O1-P1
Diagnósticos Territoriais|Reunir movimentos para dialogar sobre desafios e potencialidades|articular|diagnóstico|coletivos economia popular|V3-O1-P2
Diagnósticos Territoriais|Explicar função do questionário de diagnóstico|orientar|diagnóstico|empreendimentos EPS|V6-O1-P1
Diagnósticos Territoriais|Realizar diagnóstico dos empreendimentos (formas organizativas, gestão, etc.)|coletar|diagnóstico|empreendimentos EPS|V1-O1-P1
Diagnósticos Territoriais|Cadastrar empreendimentos no CADSOL|executar|infraestrutura/apoio|empreendimentos EPS|V4-O6-P1
Diagnósticos Territoriais|Levantar relações dos empreendimentos com outras organizações do território|coletar|diagnóstico|empreendimentos EPS|V1-O1-P1
Diagnósticos Territoriais|Identificar programas e políticas públicas existentes no território|coletar|diagnóstico|gestores públicos|V1-O1-P3
Diagnósticos Territoriais|Gerar relatórios preliminares para subsidiar decisões|analisar|diagnóstico|equipe interna|V2-O1-P6
Diagnósticos Territoriais|Sistematizar dados classificando demandas|analisar|diagnóstico|equipe interna|V2-O1-P6
Mobilização e Sensibilização|Reunir coletivos de produção sobre organização da EPS|articular|mobilização|coletivos economia popular|V3-O3-P2
Mobilização e Sensibilização|Visitar coletivos para conversar sobre fortalecimento da EPS|articular|mobilização|coletivos economia popular|V3-O3-P2
Mobilização e Sensibilização|Identificar tipos de coletivos que comercializam em feiras locais|coletar|diagnóstico|coletivos economia popular|V1-O1-P2
Mobilização e Sensibilização|Levantar tipos de produtos comercializados em feiras populares|coletar|diagnóstico|coletivos economia popular|V1-O1-P2
Mobilização e Sensibilização|Desenvolver cursos sobre EPS com integrantes de coletivos|executar|formação/qualificação|coletivos economia popular|V4-O2-P2
Mobilização e Sensibilização|Levantar informações sobre redes de educação popular no território|coletar|diagnóstico|coletivos economia popular|V1-O1-P2
Mobilização e Sensibilização|Reunir com redes de educação popular para discutir relação com EPS|articular|mobilização|coletivos economia popular|V3-O3-P2
Monitoramento de Ações Formativas|Levantar informações do andamento das ações do Programa|coletar|monitoramento/avaliação|equipe interna|V1-O4-P6
Monitoramento de Ações Formativas|Organizar dados para subsidiar decisões da Senaes|analisar|monitoramento/avaliação|equipe interna|V2-O4-P6
Monitoramento de Ações Formativas|Apontar formas de resolução coletiva de desafios|orientar|monitoramento/avaliação|equipe interna|V6-O4-P6
Diálogo com Movimentos de EPS|Colaborar com espaços organizativos de EPS conforme demandas|articular|incidência política|conselhos/fóruns|V3-O5-P4
Diálogo com Movimentos de EPS|Participar de reuniões de fóruns, colegiados e conselhos quando convidados|articular|incidência política|conselhos/fóruns|V3-O5-P4
